DATE,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,PS,RH2M,T2M_MAX,T2M_MIN,WD10M,WS10M,WS2M,CITY
2015-01-01,1.6099,5.058,4.423,101.07,39.67,31.87,8.26,42.7,2.93,1.87,Ahmedabad
2015-02-01,1.7148,6.0084,5.5318,100.78,28.65,38.61,11.32,343.9,2.9,1.85,Ahmedabad
2015-03-01,2.1058,5.915,6.2107,100.67,32.14,43.29,12.69,306.3,3.01,1.97,Ahmedabad
2015-04-01,2.4958,5.394,6.8525,100.22,36.22,45.54,21.15,257.6,3.67,2.58,Ahmedabad
2015-05-01,2.251,6.6389,7.5982,99.98,35.0,46.19,23.94,272.9,4.56,3.35,Ahmedabad
2015-06-01,2.903,3.5489,6.1154,99.61,58.01,44.81,25.56,214.0,4.98,3.78,Ahmedabad
2015-07-01,2.7617,1.3344,4.3289,99.64,70.4,38.25,24.29,234.7,5.97,4.43,Ahmedabad
2015-08-01,2.6738,2.0662,4.6387,99.97,81.15,34.46,23.61,237.8,3.57,2.54,Ahmedabad
2015-09-01,2.2903,4.2643,5.5882,100.15,68.67,39.16,20.1,233.8,2.95,2.0,Ahmedabad
2015-10-01,1.6349,6.0794,5.7281,100.58,46.85,39.25,16.05,65.6,2.23,1.41,Ahmedabad
2015-11-01,1.7052,4.5926,4.5223,100.74,33.79,36.89,14.58,43.7,2.55,1.58,Ahmedabad
2015-12-01,1.3771,5.9129,4.5096,101.01,19.34,35.59,8.78,41.1,3.09,1.91,Ahmedabad
2016-01-01,1.5389,5.4317,4.5636,101.0,26.97,35.02,8.35,10.7,2.77,1.65,Ahmedabad
2016-02-01,1.9826,5.5214,5.4223,100.82,22.32,39.03,11.28,20.7,3.11,1.95,Ahmedabad
2016-03-01,2.0316,6.2818,6.4627,100.58,24.74,42.47,17.85,309.3,3.21,2.11,Ahmedabad
2016-04-01,2.1142,6.8731,7.2816,100.25,30.29,44.67,20.89,280.5,3.57,2.48,Ahmedabad
2016-05-01,2.4338,6.2616,7.4664,99.89,35.64,48.58,25.24,258.9,4.81,3.57,Ahmedabad
2016-06-01,2.8699,3.9734,6.3974,99.68,46.93,46.69,26.79,244.1,5.11,3.9,Ahmedabad
2016-07-01,2.8099,1.3003,4.3231,99.63,68.59,39.72,25.15,237.5,4.6,3.47,Ahmedabad
2016-08-01,2.5111,1.3102,3.9074,99.68,81.14,35.17,23.46,242.8,3.9,2.78,Ahmedabad
2016-09-01,2.3954,4.0723,5.5236,100.12,74.8,35.67,21.19,266.3,2.93,2.02,Ahmedabad
2016-10-01,1.8437,4.8638,5.1336,100.44,62.53,35.85,16.36,267.2,1.98,1.24,Ahmedabad
2016-11-01,1.3855,6.187,4.9517,100.83,38.24,34.75,13.56,69.4,2.49,1.51,Ahmedabad
2016-12-01,1.081,6.7142,4.5996,100.93,31.4,33.88,11.08,56.5,2.89,1.77,Ahmedabad
2017-01-01,1.6315,4.9315,4.4508,100.96,30.8,35.16,7.21,30.5,3.02,1.91,Ahmedabad
2017-02-01,1.5218,6.6334,5.6525,100.88,22.71,38.35,9.41,14.4,3.12,1.96,Ahmedabad
2017-03-01,1.8444,6.7879,6.7015,100.48,21.86,44.01,12.3,320.3,3.25,2.1,Ahmedabad
2017-04-01,2.1418,6.5148,7.2763,100.21,27.89,45.69,18.5,263.9,3.8,2.63,Ahmedabad
2017-05-01,2.3863,6.169,7.4285,99.94,31.93,45.58,24.62,258.0,4.23,3.12,Ahmedabad
2017-06-01,2.9671,3.7471,6.3158,99.62,55.98,44.08,26.83,227.0,4.94,3.77,Ahmedabad
2017-07-01,2.2274,1.1426,3.4954,99.6,81.04,36.96,24.13,244.8,5.2,3.82,Ahmedabad
2017-08-01,2.5092,1.7422,4.26,99.75,85.84,33.08,22.94,241.3,3.81,2.69,Ahmedabad
2017-09-01,2.3023,3.5995,5.1533,100.15,81.25,33.09,20.94,267.1,2.28,1.52,Ahmedabad
2017-10-01,1.5893,6.1339,5.6419,100.35,57.81,36.14,17.48,355.7,2.01,1.25,Ahmedabad
2017-11-01,1.6421,4.7189,4.5242,100.74,41.85,34.57,13.39,51.6,2.51,1.51,Ahmedabad
2017-12-01,1.5206,3.8832,3.6797,100.95,40.89,32.65,9.87,55.5,3.36,2.12,Ahmedabad
2018-01-01,1.3061,6.0773,4.7196,100.79,26.73,34.74,9.59,34.8,2.75,1.66,Ahmedabad
2018-02-01,1.7822,5.6088,5.3813,100.78,24.49,39.03,12.45,12.4,2.71,1.66,Ahmedabad
2018-03-01,1.8542,6.4906,6.5465,100.48,22.35,43.0,17.64,311.3,3.03,1.94,Ahmedabad
2018-04-01,2.3345,5.8224,7.0762,100.16,26.3,45.73,19.5,278.7,3.4,2.32,Ahmedabad
2018-05-01,2.5224,5.8855,7.3841,99.88,32.85,46.91,24.08,260.6,3.92,2.87,Ahmedabad
2018-06-01,3.1382,2.952,6.0557,99.51,45.69,44.99,27.39,240.8,5.86,4.48,Ahmedabad
2018-07-01,2.6753,0.6084,3.7152,99.48,72.98,38.85,24.64,233.3,4.74,3.54,Ahmedabad
2018-08-01,2.5486,0.7006,3.595,99.72,77.73,36.68,22.71,237.3,4.45,3.21,Ahmedabad
2018-09-01,2.2046,3.5309,4.9682,100.24,70.87,38.87,20.95,238.5,2.86,1.94,Ahmedabad
2018-10-01,1.7635,5.7926,5.6892,100.59,42.35,38.33,17.59,103.7,1.94,1.18,Ahmedabad
2018-11-01,1.6013,5.1612,4.7093,100.81,29.31,36.55,14.25,57.4,2.47,1.54,Ahmedabad
2018-12-01,1.4297,5.4288,4.3111,101.02,25.38,32.16,7.74,53.1,3.23,2.01,Ahmedabad
2019-01-01,1.5751,5.4785,4.6903,101.12,23.62,33.79,7.32,40.3,3.25,2.04,Ahmedabad
2019-02-01,1.7249,5.7931,5.4005,100.9,28.46,36.67,7.26,336.5,3.47,2.26,Ahmedabad
2019-03-01,1.9457,6.2174,6.4406,100.63,24.45,43.52,13.6,331.9,3.3,2.16,Ahmedabad
2019-04-01,1.9807,6.7985,7.2194,100.24,25.1,45.87,20.97,289.7,3.47,2.38,Ahmedabad
2019-05-01,2.3546,6.4126,7.5444,100.06,36.43,45.53,23.49,265.2,4.19,3.1,Ahmedabad
2019-06-01,2.8063,3.912,6.283,99.64,50.28,46.95,26.27,230.2,4.75,3.6,Ahmedabad
2019-07-01,2.8346,1.6349,4.6526,99.52,66.48,40.04,25.12,233.6,5.43,4.04,Ahmedabad
2019-08-01,2.5046,1.2706,3.9785,99.67,86.09,33.88,23.39,242.8,4.27,3.03,Ahmedabad
2019-09-01,2.4324,1.5998,4.0147,99.98,89.12,32.43,24.23,235.7,2.83,1.92,Ahmedabad
2019-10-01,2.0534,4.4762,5.1557,100.59,81.47,32.56,17.02,65.7,2.6,1.65,Ahmedabad
2019-11-01,1.9298,3.2551,4.0296,100.77,79.74,30.77,15.58,75.0,2.32,1.43,Ahmedabad
2019-12-01,1.5732,4.0942,3.8779,101.01,68.73,29.27,6.38,55.4,3.39,2.16,Ahmedabad
2020-01-01,1.525,5.0518,4.4215,101.01,54.9,30.07,6.65,26.7,3.32,2.11,Ahmedabad
2020-02-01,1.6032,6.1378,5.4521,100.94,34.23,36.05,9.27,34.4,3.01,1.91,Ahmedabad
2020-03-01,2.0263,5.8438,6.2071,100.59,34.2,39.69,12.49,307.9,3.04,2.0,Ahmedabad
2020-04-01,2.1415,6.5491,7.212,100.33,25.92,45.13,20.84,296.7,3.49,2.39,Ahmedabad
2020-05-01,2.0321,6.9929,7.5804,99.98,33.62,46.3,24.83,274.8,4.5,3.31,Ahmedabad
2020-06-01,2.9676,3.3636,6.0252,99.68,63.14,40.83,25.9,223.2,3.95,2.99,Ahmedabad
2020-07-01,2.8783,2.5133,5.2344,99.56,75.96,37.4,25.51,218.7,4.08,3.02,Ahmedabad
2020-08-01,2.4298,1.0963,3.6941,99.5,86.36,36.18,23.96,228.8,4.28,3.04,Ahmedabad
2020-09-01,2.5752,3.0511,5.1425,99.97,84.93,32.7,21.99,276.6,2.29,1.51,Ahmedabad
2020-10-01,1.7455,5.4905,5.4641,100.27,71.4,33.41,16.84,2.7,2.09,1.33,Ahmedabad
2020-11-01,1.609,4.9327,4.5749,100.89,62.22,31.81,11.01,48.7,2.83,1.72,Ahmedabad
2020-12-01,1.254,5.4302,4.1506,100.88,51.03,32.46,5.49,47.5,2.78,1.71,Ahmedabad
2021-01-01,1.3968,4.9565,4.2701,100.77,39.82,32.2,7.31,9.4,2.9,1.75,Ahmedabad
2021-02-01,1.62,6.3886,5.6033,100.79,28.6,37.97,10.53,347.9,2.83,1.76,Ahmedabad
2021-03-01,2.0364,6.3084,6.6103,100.48,23.84,43.12,15.4,300.0,3.07,1.95,Ahmedabad
2021-04-01,2.3549,5.952,7.1191,100.25,26.39,43.98,18.25,273.4,3.1,2.11,Ahmedabad
2021-05-01,2.6143,4.831,6.6742,99.83,42.39,44.4,24.5,250.4,4.55,3.34,Ahmedabad
2021-06-01,2.802,3.5477,6.0223,99.72,61.61,41.79,25.25,238.7,4.83,3.65,Ahmedabad
2021-07-01,2.7797,1.6126,4.5434,99.54,70.07,38.34,24.59,240.5,5.31,3.92,Ahmedabad
2021-08-01,2.8313,1.5377,4.5326,99.85,66.12,37.27,24.67,244.2,4.36,3.18,Ahmedabad
2021-09-01,2.4197,1.7268,4.0531,99.77,84.05,35.6,24.4,235.9,3.43,2.37,Ahmedabad
2021-10-01,1.903,5.2037,5.4516,100.4,70.99,34.78,14.83,260.1,2.26,1.42,Ahmedabad
2021-11-01,1.734,4.0078,4.2038,100.63,56.91,34.23,13.48,79.3,3.07,1.93,Ahmedabad
2021-12-01,1.5929,3.593,3.673,101.02,52.59,30.65,8.43,49.6,2.83,1.8,Ahmedabad
2022-01-01,1.392,5.4518,4.4731,100.92,46.74,32.12,6.95,22.9,3.03,1.92,Ahmedabad
2022-02-01,1.5511,6.5959,5.7312,100.65,31.17,36.38,11.3,325.7,2.61,1.63,Ahmedabad
2022-03-01,2.0688,5.904,6.4226,100.42,20.36,43.22,16.56,312.2,3.35,2.19,Ahmedabad
2022-04-01,2.2678,6.3926,7.2653,100.13,24.46,45.66,21.7,280.2,3.97,2.75,Ahmedabad
2022-05-01,2.8822,4.7695,7.05,99.74,35.75,47.65,25.91,259.2,5.03,3.73,Ahmedabad
2022-06-01,2.8862,4.0186,6.4555,99.65,50.03,44.37,25.91,233.7,5.19,3.97,Ahmedabad
2022-07-01,2.6815,1.1686,4.1129,99.6,82.28,35.45,24.24,232.9,4.46,3.29,Ahmedabad
2022-08-01,2.4446,1.5466,4.0207,99.64,85.45,34.09,22.46,228.4,3.54,2.49,Ahmedabad
2022-09-01,2.3678,3.4934,5.183,100.03,84.85,33.66,21.38,282.1,3.08,2.07,Ahmedabad
2022-10-01,1.5684,6.0137,5.513,100.53,67.39,33.68,16.48,48.9,2.32,1.48,Ahmedabad
2022-11-01,1.4626,5.825,4.859,100.84,49.92,34.77,11.92,69.0,2.37,1.46,Ahmedabad
2022-12-01,1.3039,5.5546,4.2941,100.83,44.87,34.39,9.93,41.1,3.0,1.86,Ahmedabad
2023-01-01,1.5005,5.1778,4.4892,101.01,37.19,32.51,6.72,33.1,3.28,2.08,Ahmedabad
2023-02-01,1.2732,7.7458,5.957,100.87,24.53,39.24,11.04,8.7,2.84,1.76,Ahmedabad
2023-03-01,2.1926,4.8722,5.7994,100.61,33.39,39.03,16.99,301.0,2.65,1.72,Ahmedabad
2023-04-01,2.3443,5.5344,6.6859,100.33,30.39,42.8,20.09,278.1,2.99,2.05,Ahmedabad
2023-05-01,2.3131,6.0307,7.1602,100.15,38.01,45.23,22.71,265.5,4.17,3.07,Ahmedabad
2023-06-01,2.6136,3.4195,5.6671,99.79,60.58,41.59,24.82,225.8,5.24,3.94,Ahmedabad
2023-07-01,2.8572,1.2701,4.4417,99.66,85.4,35.62,24.69,251.4,3.94,2.87,Ahmedabad
2023-08-01,2.4833,0.9046,3.6631,99.97,83.44,33.02,22.88,244.4,4.57,3.24,Ahmedabad
2023-09-01,2.2824,3.1687,4.8578,100.0,80.42,35.54,22.57,264.5,3.34,2.29,Ahmedabad
2023-10-01,1.7304,5.783,5.6626,100.67,64.91,34.59,18.34,27.1,2.04,1.26,Ahmedabad
2023-11-01,1.8146,3.5772,4.115,100.86,52.04,34.52,13.7,63.6,2.76,1.7,Ahmedabad
2023-12-01,1.6375,4.001,3.9012,100.97,53.58,31.77,12.88,50.0,3.2,1.98,Ahmedabad
2024-01-01,1.6824,4.7705,4.3654,101.01,41.08,32.16,9.65,18.6,2.96,1.8,Ahmedabad
2024-02-01,1.9584,5.0887,5.2642,100.94,29.47,38.32,11.9,357.0,3.16,2.02,Ahmedabad
2024-03-01,2.1216,5.9026,6.4171,100.67,24.72,42.06,10.06,312.1,3.32,2.16,Ahmedabad
2024-04-01,2.5721,4.9992,6.6238,100.25,26.76,45.13,21.39,293.1,3.48,2.42,Ahmedabad
2024-05-01,2.4173,5.7554,7.129,99.86,30.43,47.44,23.4,276.0,4.45,3.27,Ahmedabad
2024-06-01,2.6957,4.0169,6.2412,99.64,48.95,44.56,27.77,236.3,4.63,3.54,Ahmedabad
2024-07-01,2.6774,0.9756,3.9948,99.35,76.47,37.92,25.75,227.8,4.48,3.33,Ahmedabad
2024-08-01,2.3875,1.1122,3.6559,99.77,84.19,34.88,24.37,230.1,4.47,3.17,Ahmedabad
2024-09-01,2.2858,2.5601,4.4789,100.0,87.36,32.49,22.33,278.1,3.18,2.15,Ahmedabad
2024-10-01,2.0117,4.2979,5.0047,100.47,80.76,32.88,18.93,53.4,2.04,1.31,Ahmedabad
2024-11-01,1.5614,5.2008,4.6956,100.85,64.59,33.18,10.69,72.9,2.04,1.27,Ahmedabad
2024-12-01,1.3673,4.8101,4.0157,100.91,58.08,29.79,6.5,43.0,3.11,1.87,Ahmedabad
2015-01-01,2.1298,4.321,5.2147,91.98,57.94,32.62,9.31,51.7,3.65,2.75,Bengaluru
2015-02-01,1.895,6.4022,6.5237,91.94,46.01,34.84,11.81,80.0,3.65,2.8,Bengaluru
2015-03-01,2.3462,5.0542,6.5076,91.91,48.3,36.92,13.48,116.4,3.65,2.89,Bengaluru
2015-04-01,2.5934,4.2713,6.3634,91.73,57.64,37.07,18.94,153.5,4.3,3.44,Bengaluru
2015-05-01,2.6978,3.1654,5.7125,91.6,67.27,35.89,19.36,191.8,4.47,3.53,Bengaluru
2015-06-01,2.7257,2.586,5.2428,91.49,74.81,32.38,18.42,240.1,4.85,3.81,Bengaluru
2015-07-01,2.9112,2.3789,5.3062,91.54,70.56,33.4,18.19,248.5,4.12,3.24,Bengaluru
2015-08-01,2.7936,2.7614,5.447,91.59,72.67,32.85,18.38,240.0,3.52,2.73,Bengaluru
2015-09-01,2.7396,3.2282,5.6174,91.62,74.01,33.72,18.07,210.6,2.99,2.31,Bengaluru
2015-10-01,2.4283,3.9106,5.6004,91.85,74.0,31.29,14.08,83.4,2.89,2.2,Bengaluru
2015-11-01,1.9891,1.956,3.7061,91.81,85.82,29.85,13.34,41.9,4.49,3.44,Bengaluru
2015-12-01,1.9094,4.0368,4.68,92.03,78.11,28.81,10.28,48.4,3.91,2.97,Bengaluru
